lag,response
13,-1.857e-08
14,-1.764e-08
15,-1.668e-08
16,-1.549e-08
17,-1.416e-08
18,-1.337e-08
19,-1.279e-08
20,-1.163e-08
21,-1.055e-08
22,-9.52e-09
23,-8.618e-09
24,-8.943e-09
25,-8.658e-09
26,-8.105e-09
27,-7.501e-09
28,-7.277e-09
29,-7.323e-09
30,-6.866e-09
31,-6.361e-09
32,-5.892e-09
33,-5.462e-09
34,-5.964e-09
35,-5.725e-09
36,-5.529e-09
37,-5.358e-09
38,-5.198e-09
39,-5.035e-09
40,-4.896e-09
41,-4.732e-09
42,-4.568e-09
43,-4.414e-09
44,-4.264e-09
45,-4.119e-09
46,-3.988e-09
47,-3.856e-09
48,-3.74e-09
49,-3.673e-09
50,-3.545e-09
51,-3.425e-09
52,-3.318e-09
53,-3.223e-09
54,-3.144e-09
55,-3.045e-09
56,-2.95e-09
57,-2.858e-09
58,-2.767e-09
59,-2.673e-09
60,-2.582e-09
61,-2.497e-09
62,-2.442e-09
63,-2.423e-09
64,-2.429e-09
65,-2.56e-09
66,-2.479e-09
67,-2.4e-09
68,-2.333e-09
69,-2.264e-09
70,-2.2e-09
71,-2.139e-09
72,-2.1e-09
73,-2.091e-09
74,-2.039e-09
75,-2.007e-09
76,-1.948e-09
0,-2.396e-08
1,-4.437e-08
2,-3.521e-08
3,-2.526e-08
4,-2.308e-08
5,-1.929e-08
6,-1.655e-08
7,6.932e-09
8,6.064e-09
9,3.5e-09
10,2.053e-09
11,-9.652e-09
12,-9.009e-09
13,-6.783e-09
14,-4.285e-09
15,-3.107e-09
16,-1.791e-09
17,-5.506e-10
18,-5.567e-10
19,-6.705e-10
20,-3.213e-10
21,8.454e-11
22,3.211e-10
23,5.257e-10
24,-5.198e-10
25,-5.434e-10
26,-3.487e-10
27,-1.836e-10
28,-2.201e-10
29,-7.584e-11
30,-2.878e-10
31,-2.204e-10
32,-1.444e-10
33,-4.268e-11
34,-4.886e-10
35,-6.265e-10
36,-6.756e-10
37,-6.793e-10
38,-5.617e-10
39,-4.197e-10
40,-3.404e-10
41,-2.85e-10
42,-2.362e-10
43,-2.056e-10
44,-1.808e-10
45,-1.975e-10
46,-1.626e-10
47,-1.651e-10
48,-1.399e-10
49,-1.188e-10
50,-1.261e-10
51,-1.264e-10
52,-1.451e-10
53,-1.623e-10
54,-1.374e-10
55,-1.107e-10
56,-1.05e-10
57,-8.339e-11
58,-5.346e-11
59,-1.838e-11
60,-2.384e-11
61,-2.071e-11
62,-2.466e-11
63,-2.628e-11
64,-3.452e-11
65,-5.927e-11
66,-5.048e-11
67,-5.722e-11
68,-3.505e-11
69,-3.997e-11
70,-4.9e-11
71,-6.548e-11
72,-6.587e-11
73,-6.051e-11
74,-3.494e-11
75,-3.45e-11
76,-4.478e-11
0,-4.65e-07
1,-4.514e-07
2,-3.304e-07
3,-2.44e-07
4,-1.568e-07
5,-1.019e-07
6,-6.75e-08
7,-3.109e-08
8,-2.216e-08
9,-1.561e-08
10,-1.07e-08
11,-1.918e-08
12,-1.408e-08
13,-1.023e-08
14,-7.523e-09
15,-5.543e-09
16,-3.584e-09
17,-1.945e-09
18,-1.699e-09
19,-1.763e-09
20,-1.072e-09
21,-5.439e-10
22,-1.212e-10
23,1.369e-10
24,-9.485e-10
25,-1.037e-09
26,-7.902e-10
27,-5.033e-10
28,-6.174e-10
29,-1.261e-09
30,-8.897e-10
31,-4.107e-10
32,-8.366e-11
33,1.41e-10
34,-1.045e-09
35,-1.168e-09
36,-9.368e-10
37,-8.247e-10
38,-7.332e-10
39,-6.534e-10
40,-5.864e-10
41,-5.209e-10
42,-4.687e-10
43,-4.289e-10
44,-3.962e-10
45,-3.63e-10
46,-3.481e-10
47,-3.285e-10
48,-3.11e-10
49,-2.967e-10
50,-2.828e-10
51,-2.754e-10
52,-2.743e-10
53,-2.801e-10
54,-2.612e-10
55,-2.383e-10
56,-2.251e-10
57,-2.063e-10
58,-1.748e-10
59,-1.343e-10
60,-1.098e-10
61,-1.209e-10
62,-1.301e-10
63,-1.357e-10
64,-1.25e-10
65,-9.401e-11
66,-1.134e-10
67,-1.215e-10
68,-1.208e-10
69,-1.171e-10
70,-1.249e-10
71,-1.282e-10
72,-1.309e-10
73,-1.268e-10
74,-1.116e-10
75,-1.111e-10
76,-1.044e-10
0,-2.314e-08
1,-3.94e-08
2,-2.969e-08
3,-1.954e-08
4,-1.818e-08
5,-1.412e-08
6,-1.325e-08
7,1.384e-08
8,9.515e-09
9,7.107e-09
10,2.509e-09
11,-1.467e-08
12,-1.013e-08
13,-7.282e-09
14,-5.317e-09
15,-2.979e-09
16,-4.612e-10
17,4.795e-10
18,1.076e-09
19,-1.852e-10
20,8.438e-10
21,8.599e-10
22,1.792e-09
23,1.412e-09
24,5.362e-10
25,-9.188e-10
26,-7.898e-10
27,-4.866e-10
28,7.227e-10
29,-5.17e-10
30,-7.932e-10
31,-4.651e-10
32,-7.71e-10
33,-3.712e-10
34,4.134e-10
35,-5.429e-10
36,-1.896e-09
37,-2.42e-10
38,-1.239e-09
39,-3.58e-10
40,-1.634e-10
41,-2.972e-11
42,-3.613e-10
43,-1.576e-10
44,-2.508e-10
45,-2.706e-10
46,-7.571e-11
47,-2.835e-10
48,-2.949e-11
49,-1.846e-10
50,-5.324e-11
51,-9.647e-11
52,-6.792e-11
53,-1.364e-10
54,-1.472e-11
55,-1.114e-10
56,-1.085e-10
57,-9.4e-11
58,-6.05e-11
59,-2.508e-11
60,3.245e-11
61,-8.723e-12
62,-1.487e-12
63,-2.907e-11
64,-4.022e-11
65,-3.771e-11
66,-3.404e-11
67,-5.421e-11
68,-1.633e-10
69,-2.777e-11
70,-4.897e-11
71,-4.811e-11
72,-6.783e-11
73,-1.262e-10
74,-4.808e-11
75,-4.044e-11
76,-6.043e-11
0,-2.052e-08
1,-3.775e-08
2,-3.028e-08
3,-2.162e-08
4,-1.821e-08
5,-1.245e-08
6,-1.065e-08
7,1.908e-08
8,1.516e-08
9,4.091e-09
10,9.414e-09
11,-1.144e-08
12,-7.786e-09
13,-6.015e-09
14,-1.028e-08
15,-9.622e-10
16,4.056e-09
17,3.434e-09
18,4.623e-09
19,2.432e-09
20,3.016e-09
21,2.744e-09
22,3.872e-09
23,3.001e-09
24,1.863e-09
25,-2.867e-09
26,-2.258e-09
27,-2.061e-09
28,2.215e-09
29,-2.294e-09
30,-2.317e-09
31,-1.895e-09
32,-2.441e-09
33,-1.824e-09
34,1.558e-09
35,-5.207e-10
36,-1.49e-09
37,-6.37e-10
38,-7.477e-10
39,-5.881e-10
40,-6.109e-10
41,-5.953e-10
42,-2.324e-10
43,-3.096e-10
44,-1.957e-10
45,-1.435e-10
46,-2.213e-10
47,-1.314e-10
48,-1.997e-10
49,-7.153e-11
50,-2.315e-10
51,-2.638e-10
52,-3.772e-10
53,-2.63e-10
54,-3.327e-10
55,-7.033e-11
56,-8.355e-11
57,-8.769e-11
58,-9.45e-11
59,-1.578e-11
60,3.203e-11
61,5.025e-11
62,1.202e-10
63,-3.543e-10
64,9.478e-11
65,-4.065e-10
66,-4.136e-11
67,2.537e-11
68,-3.107e-10
69,1.57e-11
70,-4.78e-11
71,-7.205e-11
72,-8.853e-11
73,-5.059e-11
74,-2.679e-11
75,-4.39e-11
76,-6.184e-11
0,-5.01e-06
1,-7.956e-07
2,-3.63e-07
3,-2.142e-07
4,-1.19e-07
5,-7.163e-08
6,-4.497e-08
7,-2.325e-08
8,-1.724e-08
9,-1.06e-08
10,-7.119e-09
11,-1.28e-08
12,-8.898e-09
13,-6.039e-09
14,-4.598e-09
15,-3.236e-09
16,-1.997e-09
17,-1.002e-09
18,-9.996e-10
19,-1.085e-09
20,-5.406e-10
21,-1.717e-10
22,1.133e-10
23,2.498e-10
24,-6.701e-10
25,-6.746e-10
26,-5.047e-10
27,-3.184e-10
28,-4.046e-10
29,-1.02e-09
30,-5.586e-10
31,-1.167e-10
32,1.377e-10
33,2.924e-10
34,-8.163e-10
35,-3.979e-10
36,-4.354e-10
37,-4.463e-10
38,-4.178e-10
39,-3.76e-10
40,-3.389e-10
41,-2.975e-10
42,-2.688e-10
43,-2.475e-10
44,-2.297e-10
45,-2.128e-10
46,-2.007e-10
47,-1.835e-10
48,-1.772e-10
49,-1.801e-10
50,-1.612e-10
51,-1.586e-10
52,-1.588e-10
53,-1.621e-10
54,-1.48e-10
